Value,Count,Clip_OutRaster_LC20_BPS_220_tif,Clip_OutRaster_LC22_EVT_230_tif,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
84,24194.000000000000000,447,9018,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated
85,3865.000000000000000,425,9512,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Northern Rocky Mountain Lower Montane Riparian Shrubland,Riparian
86,43877.000000000000000,425,9012,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Northern Rocky Mountain Lower Montane Riparian Woodland,Riparian
87,93.000000000000000,421,7161,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Northern Rocky Mountain Conifer Swamp,Riparian
88,1454.000000000000000,421,9017,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Rocky Mountain Alpine-Montane Wet Meadow,Riparian
89,3234.000000000000000,421,9512,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Northern Rocky Mountain Lower Montane Riparian Shrubland,Riparian
90,3647.000000000000000,418,7169,10452_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,202,69,137,37,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
91,690.000000000000000,418,9018,10452_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,202,69,137,37,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated
92,22014.000000000000000,447,7169,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
93,1571.000000000000000,425,7966,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Western Cool Temperate Fallow/Idle Cropland,Agricultural
94,26647.000000000000000,421,9012,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Northern Rocky Mountain Lower Montane Riparian Woodland,Riparian
95,2197.000000000000000,446,7161,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Northern Rocky Mountain Conifer Swamp,Riparian
96,112157.000000000000000,446,7050,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Rocky Mountain Lodgepole Pine Forest,Conifer
97,101626.000000000000000,440,7045,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17,-9999,-9999,17,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer
98,66.000000000000000,431,7010,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Northern Rocky Mountain Western Larch Savanna,Conifer
99,77169.000000000000000,446,9512,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Northern Rocky Mountain Lower Montane Riparian Shrubland,Riparian
100,19884.000000000000000,419,7168,10453_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,Conifer,223,106,-9999,72,Northern Rocky Mountain Avalanche Chute Shrubland,Shrubland
101,129841.000000000000000,446,7106,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland
102,29.000000000000000,440,7010,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17,-9999,-9999,17,Northern Rocky Mountain Western Larch Savanna,Conifer
